Field,Type,Dataframe,Description
game_id,character,"pbp_rush, pbp_pass, weekly",Ten digit identifier for NFL game.
desc,character,"pbp_rush, pbp_pass",Detailed string description for the given play.
rusher_player_id,character,pbp_rush,Unique identifier for the player that attempted the run.
full_name,character,"pbp_rush, weekly",Full name as per NFL.com
posteam,character,"pbp_rush, pbp_pass, weekly",String abbreviation for the team with possession.
posteam_type,character,"pbp_rush, pbp_pass",String indicating whether the posteam team is home or away.
run_location,character,pbp_rush,"String indicator for location of run: left, middle, or right."
run_gap,character,pbp_rush,"String indicator for line gap of run: end, guard, or tackle"
run_gap_dir,character,pbp_rush,"Combines run gap and direction, e.g. left guard"
surface,character,"pbp_rush, pbp_pass",What type of ground the game was played on. (Source: Pro-Football-Reference)
roof,character,"pbp_rush, pbp_pass","One of 'dome', 'outdoors', 'closed', 'open' indicating indicating the roof status of the stadium the game was played in. (Source: Pro-Football-Reference)"
position,character,"pbp_rush, weekly",Primary position as reported by NFL.com
era,character,"pbp_rush, pbp_pass",one of pre2018 (2006-2017) or post2018 (2018+)
rush_touchdown,factor,pbp_rush,Binary indicator for if the play resulted in a rushing TD.
first_down,factor,"pbp_rush, pbp_pass",Binary indicator if the play ended in a first down.
qtr,factor,"pbp_rush, pbp_pass",Quarter of the game (5 is overtime).
down,factor,"pbp_rush, pbp_pass",The down for the given play.
goal_to_go,factor,"pbp_rush, pbp_pass",Binary indicator for whether or not the posteam is in a goal down situation.
shotgun,factor,"pbp_rush, pbp_pass",Binary indicator for whether or not the play was in shotgun formation.
no_huddle,factor,"pbp_rush, pbp_pass",Binary indicator for whether or not the play was in no_huddle formation.
qb_dropback,factor,pbp_rush,"Binary indicator for whether or not the QB dropped back on the play (pass attempt, sack, or scrambled)."
qb_scramble,factor,pbp_rush,Binary indicator for whether or not the QB scrambled.
play_id,numeric,"pbp_rush, pbp_pass",Numeric play id that when used with game_id and drive provides the unique identifier for a single play.
two_point_attempt,numeric,"pbp_rush, pbp_pass",Binary indicator for two point conversion attempt.
two_point_converted,numeric,"pbp_rush, pbp_pass",A binary for whether a two point conversion was successful on this play
rush_attempt,numeric,"pbp_rush, weekly",Binary indicator for if the play was a run.
first_down_rush,numeric,pbp_rush,Binary indicator for if a running play converted the first down.
fumble_lost,numeric,"pbp_rush, pbp_pass",Binary indicator for if the fumble was lost.
season,numeric,"pbp_rush, pbp_pass, weekly",4 digit number indicating to which season the game belongs to.
week,numeric,"pbp_rush, pbp_pass, weekly",Season week.
rushing_yards,numeric,pbp_rush,"Numeric yards by the rusher_player_name, excluding yards gained in rush plays with laterals. This should equal official rushing statistics but could miss yards gained in rush plays with laterals. Please see the description of `lateral_rusher_player_name` for further information."
wind,numeric,"pbp_rush, pbp_pass",The speed of the wind in miles/hour only for 'roof' = 'outdoors' or 'open'. (Source: Pro-Football-Reference)
temp,numeric,"pbp_rush, pbp_pass",The temperature at the stadium only for 'roof' = 'outdoors' or 'open'.(Source: Pro-Football-Reference)
yardline_100,numeric,"pbp_rush, pbp_pass",Numeric distance in the number of yards from the opponent's endzone for the posteam.
half_seconds_remaining,numeric,"pbp_rush, pbp_pass",Numeric seconds remaining in the half.
game_seconds_remaining,numeric,"pbp_rush, pbp_pass",Numeric seconds remaining in the game.
fixed_drive,numeric,"pbp_rush, pbp_pass",Manually created drive number in a game.
xpass,numeric,"pbp_rush, pbp_pass",Probability of dropback scaled from 0 to 1.
ydstogo,numeric,"pbp_rush, pbp_pass",Numeric yards in distance from either the first down marker or the endzone in goal down situations.
score_differential,numeric,"pbp_rush, pbp_pass",Score differential between the posteam and defteam at the start of the play.
ep,numeric,"pbp_rush, pbp_pass","Using the scoring event probabilities, the estimated expected points with respect to the possession team for the given play."
vegas_wp,numeric,"pbp_rush, pbp_pass","Estimated win probabiity for the posteam given the current situation at the start of the given play, incorporating pre-game Vegas line."
implied_total,numeric,"pbp_rush, pbp_pass",The total number of points a team is expected to score in a game according to Vegas lines (spread and over/under)
rush_yards_exp,numeric,pbp_rush,Expected number of rush_yards in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rush_touchdown_exp,numeric,"pbp_rush, weekly",Expected number of rush_touchdown in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rush_first_down_exp,numeric,"pbp_rush, weekly",Expected number of rush_first_down in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
two_point_conv_exp,numeric,"pbp_rush, pbp_pass",Expected number of two_point_conv in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
passer_player_id,character,pbp_pass,Unique identifier for the player that attempted the pass.
passer_full_name,character,pbp_pass,Full name of the passer as found within nflreadr::load_rosters
passer_position,character,pbp_pass,Position designation of the passer as found within nflreadr::load_rosters
receiver_player_id,character,pbp_pass,Unique identifier for the receiver that was targeted on the pass.
receiver_full_name,character,pbp_pass,Full name of the receiver as found within nflreadr::load_rosters
receiver_position,character,pbp_pass,Position designation of the receiver as found within nflreadr::load_rosters
pass_location,character,pbp_pass,"String indicator for pass location: left, middle, or right."
complete_pass,factor,pbp_pass,Binary indicator for if the pass was completed.
pass_touchdown,factor,pbp_pass,Binary indicator for if the play resulted in a passing TD.
interception,factor,pbp_pass,Binary indicator for if the pass was intercepted.
qb_hit,factor,pbp_pass,Binary indicator if the QB was hit on the play.
pass_attempt,numeric,"pbp_pass, weekly",Binary indicator for if the play was a pass attempt (includes sacks).
receiving_yards,numeric,pbp_pass,"Numeric yards by the receiver_player_name, excluding yards gained in pass plays with laterals. This should equal official receiving statistics but could miss yards gained in pass plays with laterals. Please see the description of `lateral_receiver_player_name` for further information."
first_down_pass,numeric,pbp_pass,Binary indicator for if a passing play converted the first down.
yards_after_catch,numeric,pbp_pass,Numeric value for distance in yards perpendicular to the yard line where the receiver made the reception to where the play ended.
relative_to_endzone,numeric,pbp_pass,"Numeric distance from the target location to the endzone, with negative values meaning 'short of the endzone by X distance'"
total_line,numeric,pbp_pass,The closing total line for the game. (Source: Pro-Football-Reference)
relative_to_sticks,numeric,pbp_pass,"Numeric distance from the target location to the first down line to gain, with negative values meaning 'short of the sticks' and positive values meaning 'beyond the sticks'"
air_yards,numeric,pbp_pass,Numeric value for distance in yards perpendicular to the line of scrimmage at where the targeted receiver either caught or didn't catch the ball.
pass_completion_exp,numeric,pbp_pass,Expected number of pass_completion in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
yards_after_catch_exp,numeric,pbp_pass,Expected number of yards_after_catch in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
yardline_exp,numeric,pbp_pass,Expected number of yardline in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_touchdown_exp,numeric,"pbp_pass, weekly",Expected number of pass_touchdown in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_first_down_exp,numeric,"pbp_pass, weekly",Expected number of pass_first_down in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_interception_exp,numeric,"pbp_pass, weekly",Expected number of pass_interception in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
player_id,character,weekly,Player ID (aka GSIS ID) as defined by nflreadr::load_rosters
rec_attempt,numeric,weekly,Total number of targets for a given game
pass_air_yards,numeric,weekly,Total air yards thrown for a given game
rec_air_yards,numeric,weekly,Total air yards on receiving attempts for a given game
pass_completions,numeric,weekly,Number of successful completions for a given game
receptions,numeric,weekly,Total catches for a game.
pass_completions_exp,numeric,weekly,Expected number of pass_completions in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
receptions_exp,numeric,weekly,Expected number of receptions in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_yards_gained,numeric,weekly,Total passing yards gained for a given game
rec_yards_gained,numeric,weekly,Total receiving yards gained for a given game
rush_yards_gained,numeric,weekly,Total rushing yards gained for a given game
pass_yards_gained_exp,numeric,weekly,Expected number of pass_yards_gained in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rec_yards_gained_exp,numeric,weekly,Expected number of rec_yards_gained in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rush_yards_gained_exp,numeric,weekly,Expected number of rush_yards_gained in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_touchdown,numeric,weekly,Total passing touchdowns
rec_touchdown,numeric,weekly,Total receiving touchdowns
rush_touchdown,numeric,weekly,Total rushing touchdowns
rec_touchdown_exp,numeric,weekly,Expected number of rec_touchdown in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_two_point_conv,numeric,weekly,Number of successful passing two point conversions
rec_two_point_conv,numeric,weekly,Number of successful receiving two point conversions
rush_two_point_conv,numeric,weekly,Number of successful rushing two point conversions
pass_two_point_conv_exp,numeric,weekly,Expected number of pass_two_point_conv in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rec_two_point_conv_exp,numeric,weekly,Expected number of rec_two_point_conv in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rush_two_point_conv_exp,numeric,weekly,Expected number of rush_two_point_conv in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_first_down,numeric,weekly,Number of passing first downs
rec_first_down,numeric,weekly,Number of receiving first downs
rush_first_down,numeric,weekly,Number of rushing first downs
rec_first_down_exp,numeric,weekly,Expected number of rec_first_down in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_interception,numeric,weekly,Number of interceptions thrown
rec_interception,numeric,weekly,Number of interceptions on targets
rec_interception_exp,numeric,weekly,Expected number of rec_interception in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rec_fumble_lost,numeric,weekly,Number of fumbles on receiving attempts
rush_fumble_lost,numeric,weekly,Number of fumbles on rushing attempts
pass_fantasy_points_exp,numeric,weekly,Expected number of pass_fantasy_points in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rec_fantasy_points_exp,numeric,weekly,Expected number of rec_fantasy_points in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
rush_fantasy_points_exp,numeric,weekly,Expected number of rush_fantasy_points in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_fantasy_points,numeric,weekly,"Total fantasy points from passing, assuming 0.04 points per pass yard, 4 points per pass TD, -2 points per interception"
rec_fantasy_points,numeric,weekly,"Total fantasy points from receiving, assuming PPR scoring"
rush_fantasy_points,numeric,weekly,"Total fantasy points from rushing, assuming PPR scoring"
total_yards_gained,numeric,weekly,"Total scrimmage yards (sum of pass, rush, and receiving yards)"
total_yards_gained_exp,numeric,weekly,Expected number of total_yards_gained in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
total_touchdown,numeric,weekly,"Total touchdowns (sum of pass, rush, and receiving touchdowns)"
total_touchdown_exp,numeric,weekly,Expected number of total_touchdown in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
total_first_down,numeric,weekly,"Total first downs (sum of pass, rush, and receiving first downs)"
total_first_down_exp,numeric,weekly,Expected number of total_first_down in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
total_fantasy_points,numeric,weekly,"Total fantasy points (sum of pass, rush, and receiving fantasy points)"
total_fantasy_points_exp,numeric,weekly,Expected number of total_fantasy_points in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_completions_diff,numeric,weekly,Difference between actual and expected number of pass_completions - often interpreted as efficiency for a given play/game
receptions_diff,numeric,weekly,Difference between actual and expected number of receptions - often interpreted as efficiency for a given play/game
pass_yards_gained_diff,numeric,weekly,Difference between actual and expected number of pass_yards_gained - often interpreted as efficiency for a given play/game
rec_yards_gained_diff,numeric,weekly,Difference between actual and expected number of rec_yards_gained - often interpreted as efficiency for a given play/game
rush_yards_gained_diff,numeric,weekly,Difference between actual and expected number of rush_yards_gained - often interpreted as efficiency for a given play/game
pass_touchdown_diff,numeric,weekly,Difference between actual and expected number of pass_touchdown - often interpreted as efficiency for a given play/game
rec_touchdown_diff,numeric,weekly,Difference between actual and expected number of rec_touchdown - often interpreted as efficiency for a given play/game
rush_touchdown_diff,numeric,weekly,Difference between actual and expected number of rush_touchdown - often interpreted as efficiency for a given play/game
pass_two_point_conv_diff,numeric,weekly,Difference between actual and expected number of pass_two_point_conv - often interpreted as efficiency for a given play/game
rec_two_point_conv_diff,numeric,weekly,Difference between actual and expected number of rec_two_point_conv - often interpreted as efficiency for a given play/game
rush_two_point_conv_diff,numeric,weekly,Difference between actual and expected number of rush_two_point_conv - often interpreted as efficiency for a given play/game
pass_first_down_diff,numeric,weekly,Difference between actual and expected number of pass_first_down - often interpreted as efficiency for a given play/game
rec_first_down_diff,numeric,weekly,Difference between actual and expected number of rec_first_down - often interpreted as efficiency for a given play/game
rush_first_down_diff,numeric,weekly,Difference between actual and expected number of rush_first_down - often interpreted as efficiency for a given play/game
pass_interception_diff,numeric,weekly,Difference between actual and expected number of pass_interception - often interpreted as efficiency for a given play/game
rec_interception_diff,numeric,weekly,Difference between actual and expected number of rec_interception - often interpreted as efficiency for a given play/game
pass_fantasy_points_diff,numeric,weekly,Difference between actual and expected number of pass_fantasy_points - often interpreted as efficiency for a given play/game
rec_fantasy_points_diff,numeric,weekly,Difference between actual and expected number of rec_fantasy_points - often interpreted as efficiency for a given play/game
rush_fantasy_points_diff,numeric,weekly,Difference between actual and expected number of rush_fantasy_points - often interpreted as efficiency for a given play/game
total_yards_gained_diff,numeric,weekly,Difference between actual and expected number of total_yards_gained - often interpreted as efficiency for a given play/game
total_touchdown_diff,numeric,weekly,Difference between actual and expected number of total_touchdown - often interpreted as efficiency for a given play/game
total_first_down_diff,numeric,weekly,Difference between actual and expected number of total_first_down - often interpreted as efficiency for a given play/game
total_fantasy_points_diff,numeric,weekly,Difference between actual and expected number of total_fantasy_points - often interpreted as efficiency for a given play/game
pass_attempt_team,numeric,weekly,"Team-level total pass_attempt for a game, summed across all plays/players for that team."
rec_attempt_team,numeric,weekly,"Team-level total rec_attempt for a game, summed across all plays/players for that team."
rush_attempt_team,numeric,weekly,"Team-level total rush_attempt for a game, summed across all plays/players for that team."
pass_air_yards_team,numeric,weekly,"Team-level total pass_air_yards for a game, summed across all plays/players for that team."
rec_air_yards_team,numeric,weekly,"Team-level total rec_air_yards for a game, summed across all plays/players for that team."
pass_completions_team,numeric,weekly,"Team-level total pass_completions for a game, summed across all plays/players for that team."
receptions_team,numeric,weekly,"Team-level total receptions for a game, summed across all plays/players for that team."
pass_completions_exp_team,numeric,weekly,"Team-level total expected pass_completions_exp for a game, summed across all plays & players for that team."
receptions_exp_team,numeric,weekly,"Team-level total expected receptions_exp for a game, summed across all plays & players for that team."
pass_yards_gained_team,numeric,weekly,"Team-level total pass_yards_gained for a game, summed across all plays/players for that team."
rec_yards_gained_team,numeric,weekly,"Team-level total rec_yards_gained for a game, summed across all plays/players for that team."
rush_yards_gained_team,numeric,weekly,"Team-level total rush_yards_gained for a game, summed across all plays/players for that team."
pass_yards_gained_exp_team,numeric,weekly,"Team-level total expected pass_yards_gained_exp for a game, summed across all plays & players for that team."
rec_yards_gained_exp_team,numeric,weekly,"Team-level total expected rec_yards_gained_exp for a game, summed across all plays & players for that team."
rush_yards_gained_exp_team,numeric,weekly,"Team-level total expected rush_yards_gained_exp for a game, summed across all plays & players for that team."
pass_touchdown_team,numeric,weekly,"Team-level total pass_touchdown for a game, summed across all plays/players for that team."
rec_touchdown_team,numeric,weekly,"Team-level total rec_touchdown for a game, summed across all plays/players for that team."
rush_touchdown_team,numeric,weekly,"Team-level total rush_touchdown for a game, summed across all plays/players for that team."
pass_touchdown_exp_team,numeric,weekly,"Team-level total expected pass_touchdown_exp for a game, summed across all plays & players for that team."
rec_touchdown_exp_team,numeric,weekly,"Team-level total expected rec_touchdown_exp for a game, summed across all plays & players for that team."
rush_touchdown_exp_team,numeric,weekly,"Team-level total expected rush_touchdown_exp for a game, summed across all plays & players for that team."
pass_two_point_conv_team,numeric,weekly,"Team-level total pass_two_point_conv for a game, summed across all plays/players for that team."
rec_two_point_conv_team,numeric,weekly,"Team-level total rec_two_point_conv for a game, summed across all plays/players for that team."
rush_two_point_conv_team,numeric,weekly,"Team-level total rush_two_point_conv for a game, summed across all plays/players for that team."
pass_two_point_conv_exp_team,numeric,weekly,"Team-level total expected pass_two_point_conv_exp for a game, summed across all plays & players for that team."
rec_two_point_conv_exp_team,numeric,weekly,"Team-level total expected rec_two_point_conv_exp for a game, summed across all plays & players for that team."
rush_two_point_conv_exp_team,numeric,weekly,"Team-level total expected rush_two_point_conv_exp for a game, summed across all plays & players for that team."
pass_first_down_team,numeric,weekly,"Team-level total pass_first_down for a game, summed across all plays/players for that team."
rec_first_down_team,numeric,weekly,"Team-level total rec_first_down for a game, summed across all plays/players for that team."
rush_first_down_team,numeric,weekly,"Team-level total rush_first_down for a game, summed across all plays/players for that team."
pass_first_down_exp_team,numeric,weekly,"Team-level total expected pass_first_down_exp for a game, summed across all plays & players for that team."
rec_first_down_exp_team,numeric,weekly,"Team-level total expected rec_first_down_exp for a game, summed across all plays & players for that team."
rush_first_down_exp_team,numeric,weekly,"Team-level total expected rush_first_down_exp for a game, summed across all plays & players for that team."
pass_interception_team,numeric,weekly,"Team-level total pass_interception for a game, summed across all plays/players for that team."
rec_interception_team,numeric,weekly,"Team-level total rec_interception for a game, summed across all plays/players for that team."
pass_interception_exp_team,numeric,weekly,"Team-level total expected pass_interception_exp for a game, summed across all plays & players for that team."
rec_interception_exp_team,numeric,weekly,"Team-level total expected rec_interception_exp for a game, summed across all plays & players for that team."
rec_fumble_lost_team,numeric,weekly,"Team-level total rec_fumble_lost for a game, summed across all plays/players for that team."
rush_fumble_lost_team,numeric,weekly,"Team-level total rush_fumble_lost for a game, summed across all plays/players for that team."
pass_fantasy_points_exp_team,numeric,weekly,"Team-level total expected pass_fantasy_points_exp for a game, summed across all plays & players for that team."
rec_fantasy_points_exp_team,numeric,weekly,"Team-level total expected rec_fantasy_points_exp for a game, summed across all plays & players for that team."
rush_fantasy_points_exp_team,numeric,weekly,"Team-level total expected rush_fantasy_points_exp for a game, summed across all plays & players for that team."
pass_fantasy_points_team,numeric,weekly,"Team-level total pass_fantasy_points for a game, summed across all plays/players for that team."
rec_fantasy_points_team,numeric,weekly,"Team-level total rec_fantasy_points for a game, summed across all plays/players for that team."
rush_fantasy_points_team,numeric,weekly,"Team-level total rush_fantasy_points for a game, summed across all plays/players for that team."
total_yards_gained_team,numeric,weekly,"Team-level total total_yards_gained for a game, summed across all plays/players for that team."
total_yards_gained_exp_team,numeric,weekly,"Team-level total expected total_yards_gained_exp for a game, summed across all plays & players for that team."
total_touchdown_team,numeric,weekly,"Team-level total total_touchdown for a game, summed across all plays/players for that team."
total_touchdown_exp_team,numeric,weekly,"Team-level total expected total_touchdown_exp for a game, summed across all plays & players for that team."
total_first_down_team,numeric,weekly,"Team-level total total_first_down for a game, summed across all plays/players for that team."
total_first_down_exp_team,numeric,weekly,"Team-level total expected total_first_down_exp for a game, summed across all plays & players for that team."
total_fantasy_points_team,numeric,weekly,"Team-level total total_fantasy_points for a game, summed across all plays/players for that team."
total_fantasy_points_exp_team,numeric,weekly,"Team-level total expected total_fantasy_points_exp for a game, summed across all plays & players for that team."
pass_completions_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_completions_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
receptions_diff_team,numeric,weekly,"Team-level difference between actual and expected number of receptions_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_yards_gained_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_yards_gained_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_yards_gained_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_yards_gained_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_yards_gained_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_yards_gained_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_touchdown_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_touchdown_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_touchdown_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_touchdown_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_touchdown_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_touchdown_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_two_point_conv_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_two_point_conv_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_two_point_conv_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_two_point_conv_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_two_point_conv_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_two_point_conv_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_first_down_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_first_down_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_first_down_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_first_down_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_first_down_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_first_down_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_interception_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_interception_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_interception_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_interception_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_fantasy_points_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_fantasy_points_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_fantasy_points_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_fantasy_points_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_fantasy_points_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_fantasy_points_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
total_yards_gained_diff_team,numeric,weekly,"Team-level difference between actual and expected number of total_yards_gained_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
total_touchdown_diff_team,numeric,weekly,"Team-level difference between actual and expected number of total_touchdown_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
total_first_down_diff_team,numeric,weekly,"Team-level difference between actual and expected number of total_first_down_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
total_fantasy_points_diff_team,numeric,weekly,"Team-level difference between actual and expected number of total_fantasy_points_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
